[33752:4748:0717/003332.848:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[33752:32840:0717/003333.034:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[33752:4748:0717/003333.123:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[33752:34724:0717/003344.482:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\onigi\OneDrive\ドキュメント\GitHub\RaylaFeat\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\onigi\OneDrive\ドキュメント\GitHub\RaylaFeat\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[33752:34724:0717/003344.490:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\onigi\OneDrive\ドキュメント\GitHub\RaylaFeat\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\onigi\OneDrive\ドキュメント\GitHub\RaylaFeat\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[33752:34724:0717/003344.498:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\onigi\OneDrive\ドキュメント\GitHub\RaylaFeat\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\onigi\OneDrive\ドキュメント\GitHub\RaylaFeat\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[33752:34724:0717/003344.506:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\onigi\OneDrive\ドキュメント\GitHub\RaylaFeat\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\onigi\OneDrive\ドキュメント\GitHub\RaylaFeat\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[33752:34724:0717/003345.139:WARNING:value_store_frontend.cc(47)] Reading ahfgeienlihckogmohjhadlkjgocpleb.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[33752:34724:0717/003345.145:WARNING:value_store_frontend.cc(47)] Reading mhjfbmdgcfjbbpaeojofohoefgiehjai.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[27680:4492:0717/003345.769:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-32613B987BABF8DAD97CD45056CDF774 will be ignored
[33752:27872:0717/023944.102:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=70})
[33752:27872:0717/023945.065:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=66})
[33752:27872:0717/023947.087:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=63})
[33752:27872:0717/023948.073:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=62})
[33752:27872:0717/023949.078:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=60})
[33752:27872:0717/023951.076:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=57})
[33752:27872:0717/023952.077:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=56})
[33752:27872:0717/023954.101:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=54})
[33752:27872:0717/023955.077:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=55})
[33752:27872:0717/023956.095:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=54})
[33752:27872:0717/023957.086:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=56})
[33752:27872:0717/023959.083:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=55})
[33752:27872:0717/024000.095:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=52})
[33752:27872:0717/024001.091:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=53})
[33752:27872:0717/024003.091:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=54})
[33752:27872:0717/024004.083:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=56})
[33752:27872:0717/024005.090:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=57})
[33752:27872:0717/024006.110:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=58})
[33752:27872:0717/024007.105:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=57})
[33752:27872:0717/024008.106:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=58})
[33752:27872:0717/024009.096:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=60})
[33752:27872:0717/024010.098:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=63})
[33752:27872:0717/024012.104:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=65})
[33752:27872:0717/024013.110:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=67})
[33752:27872:0717/024014.114:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=66})
[33752:27872:0717/024015.098:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=67})
[33752:27872:0717/024016.112:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=68})
[33752:27872:0717/024017.118:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=71})
[33752:27872:0717/024018.112:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BAC0235ED40}, {new_limit=72})
